Sample,FunctionalGroup,JSD
IFCB1_2009_067_004943,Flagellate,0.037099563194255634
IFCB1_2009_067_004943,Other,
IFCB1_2009_067_180909,Ciliate,
IFCB1_2009_067_180909,Diatom,0.7350143450011299
IFCB1_2009_067_180909,Dinoflagellata,
IFCB1_2009_067_180909,Flagellate,0.03369458722253433
IFCB1_2009_067_180909,Other,0.22613719715064007
IFCB1_2009_067_183223,Ciliate,
IFCB1_2009_067_183223,Diatom,0.7010164892509778
IFCB1_2009_067_183223,Dinoflagellata,
IFCB1_2009_067_183223,Flagellate,0.040491397545055874
IFCB1_2009_067_183223,Other,0.2048055860912057
IFCB1_2009_067_185511,Ciliate,
IFCB1_2009_067_185511,Diatom,0.7290289819845625
IFCB1_2009_067_185511,Dinoflagellata,
IFCB1_2009_067_185511,Flagellate,0.03259592368921928
IFCB1_2009_067_185511,Other,0.18329873374940645
IFCB1_2009_085_171811,Ciliate,
IFCB1_2009_085_171811,Diatom,0.7151352450389561
IFCB1_2009_085_171811,Dinoflagellata,0.2816168858199978
IFCB1_2009_085_171811,Flagellate,0.09238132627920684
IFCB1_2009_085_171811,Other,0.09592530161699925
IFCB1_2009_085_174126,Ciliate,
IFCB1_2009_085_174126,Diatom,0.7438648120071624
IFCB1_2009_085_174126,Dinoflagellata,0.27572488071986884
IFCB1_2009_085_174126,Flagellate,0.08462701565701905
IFCB1_2009_085_174126,Other,0.14591036294094645
IFCB1_2009_085_180459,Ciliate,
IFCB1_2009_085_180459,Diatom,0.7053016471920112
IFCB1_2009_085_180459,Dinoflagellata,0.2661727819837013
IFCB1_2009_085_180459,Flagellate,0.07343717716363804
IFCB1_2009_085_180459,Other,0.10719719942272045
IFCB1_2009_087_001047,Ciliate,
IFCB1_2009_087_001047,Diatom,
IFCB1_2009_087_001047,Dinoflagellata,
IFCB1_2009_087_001047,Flagellate,0.06195397476610958
IFCB1_2009_087_001047,Other,
IFCB1_2009_087_001524,Ciliate,
IFCB1_2009_087_001524,Diatom,0.8500843165560812
IFCB1_2009_087_001524,Dinoflagellata,
IFCB1_2009_087_001524,Flagellate,0.04193358855621987
IFCB1_2009_087_001524,Other,0.14591036294094645
IFCB1_2009_087_003225,Ciliate,
IFCB1_2009_087_003225,Diatom,0.898389961301291
IFCB1_2009_087_003225,Dinoflagellata,
IFCB1_2009_087_003225,Flagellate,0.049411976919284985
IFCB1_2009_087_003225,Other,
IFCB1_2009_087_003850,Ciliate,
IFCB1_2009_087_003850,Diatom,0.7850055155103476
IFCB1_2009_087_003850,Dinoflagellata,
IFCB1_2009_087_003850,Flagellate,0.03770533338628723
IFCB1_2009_087_003850,Other,0.14591036294094645
IFCB1_2009_087_005743,Ciliate,
IFCB1_2009_087_005743,Diatom,
IFCB1_2009_087_005743,Dinoflagellata,
IFCB1_2009_087_005743,Flagellate,0.03407044956378663
IFCB1_2009_087_005743,Other,
IFCB1_2009_087_182026,Ciliate,
IFCB1_2009_087_182026,Diatom,0.7854472067510803
IFCB1_2009_087_182026,Dinoflagellata,
IFCB1_2009_087_182026,Flagellate,0.052013222525545064
IFCB1_2009_087_182026,Other,0.14591036294094645
IFCB1_2009_087_184358,Ciliate,
IFCB1_2009_087_184358,Diatom,0.7826692342737243
IFCB1_2009_087_184358,Dinoflagellata,
IFCB1_2009_087_184358,Flagellate,0.08015670132100071
IFCB1_2009_087_184358,Other,0.1459140699335793
IFCB1_2009_095_000225,Ciliate,
IFCB1_2009_095_000225,Diatom,0.8328142294872826
IFCB1_2009_095_000225,Dinoflagellata,
IFCB1_2009_095_000225,Flagellate,0.0391982936800298
