Sample,FunctionalGroup,JSD
IFCB1_2009_067_004943,Flagellate,0.03397222327487034
IFCB1_2009_067_004943,Other,
IFCB1_2009_067_180909,Ciliate,
IFCB1_2009_067_180909,Diatom,0.7238395651924772
IFCB1_2009_067_180909,Dinoflagellata,
IFCB1_2009_067_180909,Flagellate,0.03021601852665158
IFCB1_2009_067_180909,Other,0.1756755813657422
IFCB1_2009_067_183223,Ciliate,
IFCB1_2009_067_183223,Diatom,0.6941653423187154
IFCB1_2009_067_183223,Dinoflagellata,
IFCB1_2009_067_183223,Flagellate,0.037649074692962636
IFCB1_2009_067_183223,Other,0.17815575935707947
IFCB1_2009_067_185511,Ciliate,
IFCB1_2009_067_185511,Diatom,0.7253708278926064
IFCB1_2009_067_185511,Dinoflagellata,
IFCB1_2009_067_185511,Flagellate,0.02898772144232596
IFCB1_2009_067_185511,Other,0.13422960878912854
IFCB1_2009_085_171811,Ciliate,
IFCB1_2009_085_171811,Diatom,0.7113316300639019
IFCB1_2009_085_171811,Dinoflagellata,0.22341173490186605
IFCB1_2009_085_171811,Flagellate,0.09118839985496485
IFCB1_2009_085_171811,Other,0.038733544618338424
IFCB1_2009_085_174126,Ciliate,
IFCB1_2009_085_174126,Diatom,0.7218971980581296
IFCB1_2009_085_174126,Dinoflagellata,0.22487285640807544
IFCB1_2009_085_174126,Flagellate,0.08331799445871595
IFCB1_2009_085_174126,Other,0.14591036294094645
IFCB1_2009_085_180459,Ciliate,
IFCB1_2009_085_180459,Diatom,0.6700030859773248
IFCB1_2009_085_180459,Dinoflagellata,0.23043838515524492
IFCB1_2009_085_180459,Flagellate,0.07192187523080479
IFCB1_2009_085_180459,Other,0.038897513309640315
IFCB1_2009_087_001047,Ciliate,
IFCB1_2009_087_001047,Diatom,
IFCB1_2009_087_001047,Dinoflagellata,
IFCB1_2009_087_001047,Flagellate,0.06013927715213648
IFCB1_2009_087_001047,Other,
IFCB1_2009_087_001524,Ciliate,
IFCB1_2009_087_001524,Diatom,0.8487504754700657
IFCB1_2009_087_001524,Dinoflagellata,
IFCB1_2009_087_001524,Flagellate,0.0390981372332842
IFCB1_2009_087_001524,Other,0.14591036294094645
IFCB1_2009_087_003225,Ciliate,
IFCB1_2009_087_003225,Diatom,0.8970549770094249
IFCB1_2009_087_003225,Dinoflagellata,
IFCB1_2009_087_003225,Flagellate,0.04711180735894157
IFCB1_2009_087_003225,Other,
IFCB1_2009_087_003850,Ciliate,
IFCB1_2009_087_003850,Diatom,0.7826728150924057
IFCB1_2009_087_003850,Dinoflagellata,
IFCB1_2009_087_003850,Flagellate,0.034633563666618905
IFCB1_2009_087_003850,Other,0.14591036294094645
IFCB1_2009_087_005743,Ciliate,
IFCB1_2009_087_005743,Diatom,
IFCB1_2009_087_005743,Dinoflagellata,
IFCB1_2009_087_005743,Flagellate,0.030640440275682173
IFCB1_2009_087_005743,Other,
IFCB1_2009_087_182026,Ciliate,
IFCB1_2009_087_182026,Diatom,0.7825647362370549
IFCB1_2009_087_182026,Dinoflagellata,
IFCB1_2009_087_182026,Flagellate,0.04983414203011754
IFCB1_2009_087_182026,Other,0.14591036294094645
IFCB1_2009_087_184358,Ciliate,
IFCB1_2009_087_184358,Diatom,0.7701472168053599
IFCB1_2009_087_184358,Dinoflagellata,
IFCB1_2009_087_184358,Flagellate,0.07876923651759267
IFCB1_2009_087_184358,Other,0.11574295286854913
IFCB1_2009_095_000225,Ciliate,
IFCB1_2009_095_000225,Diatom,0.8046061046243604
IFCB1_2009_095_000225,Dinoflagellata,
IFCB1_2009_095_000225,Flagellate,0.036251013390100235
IFCB1_2009_095_000225,Other,
IFCB1_2009_095_000946,Ciliate,
IFCB1_2009_095_000946,Diatom,0.8009234328723063
IFCB1_2009_095_000946,Dinoflagellata,
IFCB1_2009_095_000946,Flagellate,0.038773175676623826
IFCB1_2009_095_000946,Other,0.14591036294094645
IFCB1_2009_095_002500,Ciliate,
IFCB1_2009_095_002500,Diatom,
IFCB1_2009_095_002500,Dinoflagellata,
IFCB1_2009_095_002500,Flagellate,0.036251013390100235
IFCB1_2009_095_002500,Other,
IFCB1_2009_095_003242,Ciliate,
IFCB1_2009_095_003242,Diatom,0.7892863009461893
IFCB1_2009_095_003242,Dinoflagellata,
IFCB1_2009_095_003242,Flagellate,0.03823926385760521
IFCB1_2009_095_003242,Other,0.14591036294094645
IFCB1_2009_095_004823,Ciliate,
IFCB1_2009_095_004823,Diatom,0.8771604744223848
IFCB1_2009_095_004823,Dinoflagellata,
IFCB1_2009_095_004823,Flagellate,0.031669498109285404
IFCB1_2009_095_004823,Other,
IFCB1_2009_095_005613,Ciliate,
IFCB1_2009_095_005613,Diatom,0.7974939683413291
IFCB1_2009_095_005613,Dinoflagellata,
IFCB1_2009_095_005613,Flagellate,0.0394135137083406
IFCB1_2009_095_005613,Other,0.14591036294094645
IFCB1_2009_111_001351,Ciliate,
IFCB1_2009_111_001351,Diatom,
IFCB1_2009_111_001351,Dinoflagellata,
IFCB1_2009_111_001351,Flagellate,0.029866502982374626
IFCB1_2009_111_001351,Other,0.14591036294094645
IFCB1_2009_111_002256,Ciliate,
IFCB1_2009_111_002256,Diatom,0.8769206691252038
IFCB1_2009_111_002256,Dinoflagellata,
IFCB1_2009_111_002256,Flagellate,0.03934358315594752
IFCB1_2009_111_002256,Other,0.12503528670812358
IFCB1_2009_111_003629,Ciliate,
IFCB1_2009_111_003629,Diatom,0.9078138600779043
IFCB1_2009_111_003629,Dinoflagellata,
IFCB1_2009_111_003629,Flagellate,0.03871151690168717
IFCB1_2009_111_003629,Other,0.14591036294094645
IFCB1_2009_111_004547,Ciliate,
IFCB1_2009_111_004547,Diatom,0.8568357002847454
IFCB1_2009_111_004547,Dinoflagellata,
IFCB1_2009_111_004547,Flagellate,0.0370118458341344
IFCB1_2009_111_004547,Other,0.14591036294094645
IFCB1_2009_111_180423,Ciliate,
IFCB1_2009_111_180423,Diatom,0.7954008071463939
IFCB1_2009_111_180423,Dinoflagellata,
IFCB1_2009_111_180423,Flagellate,0.04407912978019765
IFCB1_2009_111_180423,Other,0.14591036294094645
IFCB1_2009_111_182348,Ciliate,
IFCB1_2009_111_182348,Diatom,
IFCB1_2009_111_182348,Dinoflagellata,
IFCB1_2009_111_182348,Flagellate,0.057508536692155374
IFCB1_2009_111_182348,Other,
IFCB1_2009_111_182751,Ciliate,
IFCB1_2009_111_182751,Diatom,0.8146175081248666
IFCB1_2009_111_182751,Dinoflagellata,
IFCB1_2009_111_182751,Flagellate,0.06700429658844823
IFCB1_2009_111_182751,Other,0.14591036294094645
IFCB1_2009_111_184401,Ciliate,
IFCB1_2009_111_184401,Diatom,
IFCB1_2009_111_184401,Dinoflagellata,
IFCB1_2009_111_184401,Flagellate,0.039333653210006814
IFCB1_2009_111_184401,Other,0.14591036294094645
IFCB1_2009_111_185049,Ciliate,
IFCB1_2009_111_185049,Diatom,0.7705112119804588
IFCB1_2009_111_185049,Dinoflagellata,
IFCB1_2009_111_185049,Flagellate,0.060223331889158425
IFCB1_2009_111_185049,Other,0.14591036294094645
IFCB1_2009_117_201046,Ciliate,
IFCB1_2009_117_201046,Diatom,
IFCB1_2009_117_201046,Dinoflagellata,0.22884607415455208
IFCB1_2009_117_201046,Flagellate,0.035942275980417666
IFCB1_2009_117_201046,Other,0.11941443574756674
IFCB1_2009_117_203422,Ciliate,
IFCB1_2009_117_203422,Diatom,
IFCB1_2009_117_203422,Dinoflagellata,0.22202294897585204
